COUNT,BIAS_DESC
65148,Anti-Black or African American
24330,Anti-Jewish
21887,Anti-White
18944,Anti-Gay (Male)
11936,Anti-Hispanic or Latino
9572,Anti-Other Race/Ethnicity/Ancestry
5648,Anti-Asian
5512,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)"
4550,"Anti-Multiple Races, Group"
4020,Anti-Lesbian (Female)
3171,Anti-Other Religion
3145,Anti-Islamic (Muslim)
1734,Anti-American Indian or Alaska Native
1350,Anti-Catholic
1130,Anti-Protestant
1006,"Anti-Multiple Religions, Group"
908,Anti-Arab
797,Anti-Mental Disability
499,Anti-Heterosexual
491,Anti-Bisexual
455,Anti-Physical Disability
264,Anti-Transgender
138,Anti-Atheism/Agnosticism
114,Anti-Gender Non-Conforming
80,"Anti-Eastern Orthodox (Russian, Greek, Other)"
78,Anti-Female
51,Anti-Other Christian
31,Anti-Male
19,Anti-Native Hawaiian or Other Pacific Islander
17,Anti-Hindu
16,Anti-Sikh
15,Anti-Mormon
3,Anti-Jehovah's Witness
2,S
2,Anti-Buddhist
